,g1_symbol,g2_symbol,conn
256402,PRKCA,SNCA,0.1080838938865498
256715,PRKCD,SNCA,0.2511404985285161
256796,PRKCE,SNCA,0.1080838938865498
257876,MAPK1,SNCA,0.8613238709876817
258080,MAPK3,SNCA,0.2511404985285161
258652,MAPK8,SNCA,0.2511404985285161
260310,PRSS1,SNCA,0.2511404985285161
260421,KLK6,SNCA,0.7546325806987585
260581,PSAP,SNCA,0.4201912082140011
263117,PSMC1,SNCA,0.1080838938865498
263437,PSMC3,SNCA,0.6533727623227178
270408,RAB3A,SNCA,0.5694585164122478
270571,RAB5A,SNCA,0.2511404985285161
272578,RALGDS,SNCA,0.2511404985285161
272608,RAN,SNCA,0.1080838938865498
273418,RAPSN,SNCA,0.1080838938865498
273607,RARS1,SNCA,0.2511404985285161
275240,RCN1,SNCA,0.2511404985285161
278025,GRK1,SNCA,0.6833518434193775
294918,RREB1,SNCA,0.2511404985285161
296651,ATXN1,SNCA,0.2511404985285161
298150,SDCBP,SNCA,0.1080838938865498
299067,SET,SNCA,0.2511404985285161
299960,SRSF4,SNCA,0.2511404985285161
301957,SIAH1,SNCA,0.989698441835993
302099,SIAH2,SNCA,0.9999155973394872
302581,SKP1,SNCA,0.5694585164122478
303417,SLC6A2,SNCA,0.5694585164122478
303421,SLC6A3,SNCA,0.9996619026422604
303431,SLC6A4,SNCA,0.9569789463880268
306858,SNAP25,SNCA,0.4201912082140011
306936,SNCB,SNCA,0.3233796633819616
9,A1BG,TK1,0.1080838938865498
126,A2M,TK1,0.1080838938865498
323,AAMP,TK1,0.1080838938865498
3296,ACTB,TK1,0.1080838938865498
5977,ADD1,TK1,0.1080838938865498
8733,AGRP,TK1,0.2511404985285161
10167,ALAS1,TK1,0.1080838938865498
10383,ALB,TK1,0.1080838938865498
18010,APLP1,TK1,0.147265801868792
19606,APP,TK1,0.6917692752888969
26179,GET3,TK1,0.1080838938865498
29421,ATP5F1B,TK1,0.1080838938865498
30661,ATP6V1A,TK1,0.1080838938865498
34001,CCND1,TK1,0.2511404985285161
41640,MPPED1,TK1,0.1080838938865498
54799,CDC20,TK1,0.6116250705376904
57949,CDK4,TK1,0.1080838938865498
59350,CDKN1A,TK1,0.2511404985285161
60846,CENPB,TK1,0.1080838938865498
64467,CHGB,TK1,0.1080838938865498
68918,COL4A2,TK1,0.1080838938865498
68966,COL4A5,TK1,0.1080838938865498
69300,COL11A2,TK1,0.1080838938865498
72367,CRIP1,TK1,0.2511404985285161
72396,CRIP2,TK1,0.1080838938865498
72976,CRMP1,TK1,0.147265801868792
89133,DMPK,TK1,0.1080838938865498
89613,DYNC1I1,TK1,0.1080838938865498
96403,EEF1A1,TK1,0.1080838938865498
100289,EIF4A2,TK1,0.1080838938865498
115667,EXT2,TK1,0.1080838938865498
116124,EZH2,TK1,0.1080838938865498
116867,F13A1,TK1,0.1080838938865498
119981,FGB,TK1,0.1080838938865498
125043,FN1,TK1,0.4201912082140011
129268,GAPDH,TK1,0.147265801868792
130789,GDF9,TK1,0.147265801868792
130853,GDI1,TK1,0.1080838938865498
132328,GLB1,TK1,0.1080838938865498
146805,HADHB,TK1,0.1080838938865498
172153,SP110,TK1,0.1080838938865498
173316,IGHM,TK1,0.1080838938865498
178739,EIF6,TK1,0.1080838938865498
182006,KIF5A,TK1,0.1080838938865498
195959,MAGEA4,TK1,0.147265801868792
205337,ATXN3,TK1,0.1080838938865498
205691,MKI67,TK1,0.1080838938865498
207624,MOV10,TK1,0.2511404985285161
208603,MPP1,TK1,0.1080838938865498
209139,MSH2,TK1,0.1080838938865498
211850,MYC,TK1,0.2511404985285161
222743,NEUROD2,TK1,0.1080838938865498
224893,NGFR,TK1,0.1080838938865498
231985,ODC1,TK1,0.1080838938865498
244699,PKM,TK1,0.1080838938865498
254331,PPP4C,TK1,0.1080838938865498
257204,PRKD1,TK1,0.2511404985285161
259781,PROC,TK1,0.1080838938865498
265396,PSME1,TK1,0.1080838938865498
267395,PTPN4,TK1,0.1080838938865498
